,benzeneUA,ethanolAA,methaneUA,pentaneUA,waterSPCE
cassandra,-1.1531129164035565,-3.222710626092866,-2.0877261716786237,-3.63932169515192,-10.514632927202632
gomc,-1.258674258571391,-3.327269791635481,-2.234215631616703,-3.801121295075903,-10.61492855376903
gromacs,10.011627064623998,15.874235848732027,9.689739802615467,18.652229496990184,52.48758008585513
hoomd,-1.2660918294020012,-3.33462279121951,-2.2418339631303095,-3.808458083166334,-10.622421721032936
lammps-VU,-5.067654388132381,-3.3346227911242927,-0.9221177467666871,-3.653641883031497,-10.683935286040965
mcccs,-1.2660936721600409,-2.6550098486870843,-2.2038462893344866,-3.7496865405645328,-10.051661597706472
